channel_title,Total_Videos,Total_Views,Avg_Views,Total_Likes,Avg_Engagement
CIRCUITBEARD,1,3114,3114.0,14,0.58
Adam Whitley,3,3053,1017.67,4,0.16
Single Shot,3,2951,983.67,9,0.51
Sarasota Police Department,2,2769,1384.5,8,0.29
WhatsApp Wacky,1,2585,2585.0,7,0.27
Cleveland Browns,2,2416,1208.0,22,1.33
Vostok.bike,2,2322,1161.0,13,0.74
Steve Kovach,1,2259,2259.0,0,0.0
Palo Alto Online,3,2116,705.33,3,0.14
Jenny Hanell,1,1827,1827.0,3,0.27
CHauserable,1,1807,1807.0,6,0.5
Total Combat,1,1722,1722.0,17,1.22
OjO Commuter Scooter by OjO Electric,2,1706,853.0,6,0.41
GoDucksdotcom,2,1391,695.5,20,2.44
90s Commercials,1,773,773.0,2,0.26
